cartodb_id,the_geom,type_walkway,type_vacant_lot,type_tree,type_tag_graffiti,type_stumble_stone,type_speech,type_song_sound,type_shrine,type_sculpture_statue,type_scholarship,type_protest,type_poem,type_plaque,type_performance,type_park,type_parade,type_obelisk,type_museum,type_mural,type_mosaic,type_meal,type_interactive,type_historical_marker,type_gateway,type_garden,type_digital_project,type_community_resource_center,type_closed_school,type_closed_factory,type_celebration,type_bridge,type_book,type_billboard,type_bench,type_archeological_site,type_arch,topic_youth,topic_women,topic_william_penn,topic_water,topic_war,topic_violence,topic_unity,topic_technology,topic_sustainability,topic_street_art,topic_sports,topic_social_justice,topic_slavery,topic_sexuality,topic_seniors,topic_rocky,topic_religion,topic_public_safety,topic_public_health,topic_pretzel,topic_peace,topic_outer_space,topic_neighborhoods,topic_music,topic_move,topic_monument_lab,topic_mass_incarceration,topic_love,topic_liberty_bell,topic_justice,topic_indigenous_peoples,topic_immigration,topic_hunger,topic_homelessness,topic_green_space_or_nature,topic_gentrification,topic_gender,topic_freedom,topic_food,topic_education,topic_division,topic_diversity,topic_dialogue,topic_community,topic_class_economic_inequality,topic_civic_engagement,topic_city_infrastructure_transportation,topic_cheese_steak,topic_celebration,topic_ben_franklin,topic_art_and_culture,topic_addiction,zip,type_vista,type_street,type_projection,type_playground,type_other_no_form,type_memorial,type_image,type_film,type_bikepath,transcript,topic_wawa,topic_race_ethnicity,topic_post_industrial,name,age,address,mlab_id,form_image_b
115,0101000020E610000036A671B90BC452C0F7C2AE377B054440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19149,,,,,1,,,,,To All The Stars,,,,"""Star Me""",16,"Tyson Ave, Northeast",254,https://farm6.staticflickr.com/5335/17859490475_130df73046_b.jpg
116,0101000020E6100000BEF0EFD8F4C852C09C76E73F5AFB4340,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,19123,,,,,,,,,,"I'm not sure where this monument would go in the neigborhood, but I think at this point of development, another park and/or garden is necessary to represent and remind the people how the beauty of nature remains prominent, even with one of the largest amounts of development in the city, 22 condominiums were build behind my house, and 4 additional complexes were built in that square block alone. I think people should be reminded of the beauty of nature that should surround us, and feel a greater sense of purpose to the community when they aid in the beautification and upkeep of a public park",,,,Nature: In the Midst of Development,17,NORTHERN LIBERTIES,255,https://farm8.staticflickr.com/7685/17859999181_94cf2f2a00_b.jpg
117,0101000020E61000000000002FA8CA52C0BA5DF0F3E6F94340,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,19144,,,,,,,,,,"We should have a Toynbee Tile with an image of something people represents philadelphia's streets and travel. Or it could be a poem that either has some meaning to Philly today or  Philly's history or both. this would be strong because the art style started in philadelphia, but it is also still a mystery in many ways.",,,,Look Down,17,"Walnut & Market
",256,https://farm6.staticflickr.com/5334/17236967204_fa020d23b2_b.jpg
118,0101000020E61000000000001C70CA52C0E2E7420DFDF94340,,,1,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,,,,1,,,1,,,,,,,19153,,,,,,,,,," A murals type thing on a flat surface(a reall big surface) or it can be an actual tree but it will be big. / A tree made of anything and everything(lots of reflective surfaces) / The roots should be made of things that represent our past both good and bad /  the trunk should be of things that haven't changed in Philly ever /There should be big branches to represent each neighborhood, and each neighborhood should decide what they make the tiny branches/leaves from(things should be added every 5-10 years)
",,,,Growing Together,17,on the floor of city hall where the compass is ( somehow build/draw around it),257,https://farm6.staticflickr.com/5333/17239087133_c044b91d0b_b.jpg
119,0101000020E6100000BB0ED59464CE52C0F2785A7EE0FA4340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19143,,,,,,,,,,"There will be a gun with the opening taped shut. It will be a way to show how gun violence should be stopped. It should be a sculpture
",,,,"""No Guns, Hun""",16,"Below the ""Guns kill Sons"" mural 52nd st
",258,https://farm8.staticflickr.com/7795/17671957780_3079810957_b.jpg
120,0101000020E6100000000000C5C6CA52C0993B183A3AFA4340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,19104,,,,,,,,,,"Shows growth of city over time. Model of city in glass case. On timer, and in order of their construction, buildings taller than city hall extended up into view. [Mechanism = hole in base = piston]",,,,The City Grows with Us,17,Liberty 1 or Comcast Center Lobby,259,https://farm8.staticflickr.com/7678/17239087303_38c6af5971_b.jpg
121,0101000020E6100000F80CF2C4BDCA52C0F6AD7BD058FA4340,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,19143,,,,,,,,,,"Gravel Alley invites residents and visitors to experience a revolving exhibition of native grasses and ferns, curated and chosen for their ability to absorb toxins and heavy metals. With speaker for a sound installation of ""talking plants"" informing visitors of the removed toxins.",,,1,Gravel Alley,29,17th St + Benjamin Franklin Parkway (alley behind subway with open lot of gravel),26,https://farm9.staticflickr.com/8834/17634727598_b3614ef253_b.jpg
122,0101000020E610000076204663C8CA52C059D47146DEF94340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,19144,,,,,,,1,,,"My monument would be called ""Feed Me"" because Philadelphia is known for our cheesesteaks, water ice, etc. Our food is amazing & a statue or monument of food would be a good idea. [picture of food]",,,,Feed Me,17,"Entrance to Philadephia
",260,https://farm8.staticflickr.com/7687/17833151766_90f62d079b_b.jpg
123,0101000020E6100000000000609EC152C075ED9C11180A4440,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,19136,,,,,,,,,,"Two large men standing tall, in culturally appropriate items. shaking hands. Both have flags of their land, but leading up op the hands you see half of the American flag on one hand and on the other half of the other.  It should stand to show unity among Baltic and Slavic immigrants in Philly ",,,,The Baltic Slavic Union Under the U.S.A,17,"NE Philly, in between Mayfair and Grant Ave Area",261,https://farm6.staticflickr.com/5342/17860000251_9de7270896_b.jpg
124,0101000020E61000000D784FD488CA52C0BF0754A467F44340,,,,,,,,,1,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19148,,,,,,,,,,Suicide Prevention Lending A Helping hand to end depression and teen suicide.,,,,"Esperanza ""Hope""",16,"900 Packer Avenue, Philadelphia PA
",262,https://farm8.staticflickr.com/7698/17856584102_a8640c7a8d_b.jpg
125,0101000020E6100000FFFFFF04A5CA52C070BDB5B56AF94340,,,,,,1,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,19152,,,,,,,,,,"a lightbulb where people present ideas for their community or city almost like an arena with bleachers around it and lightbulbs on all around them.
",,,,Idea Circle,17,"Downtown Philadelphia
",263,https://farm8.staticflickr.com/7730/17236968204_59190fa1ab_b.jpg
126,0101000020E6100000FFFFFFAF81CA52C01470F4C2D4F94340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,19145,,,,,,,,,,"[My dad designed the compass in city hall and I would love to build on the monument he made. Shoes hanging above compass. upside down to represent pulling ourselves up. Going somewhere nicer? Iron? Metal? Actual fabric? Wrapped over iron? Compass (designed by my father years ago). OR dead body outline above compass, large outline. Colored metal? Four poles are four parks.]",,,,Dead People,17,"City Hall, Philadelphia, PA",264,https://farm8.staticflickr.com/7669/17671683738_e9dcfcf97e_b.jpg
127,0101000020E6100000D8D47954FCCA52C028806264C9FA4340,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,,,,,,,19103,,,,,,,,,,I think it is important to have a monument to a person who broke barriers and stood up for those who are unheard. I was thinking specifically of Eleanor Roosevelt and all she did for the lower class during the Great Depression. I would represent it through a walkway that wrapped out certain the changes that she made on our society and city in specific.,,,,Path to Progress,17,"Center City (Parkway)
",265,https://farm9.staticflickr.com/8886/17860000861_397f02508f_b.jpg
128,0101000020E6100000000000DA57CA52C0808C06FDE3F94340,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,,,,,19145,,,,,,,,,,"In center city by city hall there is a circle that goes around city hall. My idea of a monument is to put up Arches (at least 2) at both intersections of Market Street. Basically the arches would show symbols of Philly (ex sports teams, politics, food, etc.) of what people love about the city. I was also thinking that people can write something of what they love about the city. (I'm kind of not sure about that because would people write something inappropriate?) [Arch Market <-- City Hall --> Arch Market]",,,,Arches of Philadelphia,16,"Center City (Around City Hall)
",266,https://farm8.staticflickr.com/7764/17671684718_5c856b0e04_b.jpg
129,0101000020E61000005068FE3D9DCA52C095BA641C23FA4340,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,19145,,,,,,,,,,"Art reflects who you are, no matter who you are. Its up to your interpretation. [Mirrors inside] ",,,,Phil-You,17,LOVE Park?,267,https://farm6.staticflickr.com/5458/17671960870_e3dcf98990_b.jpg
130,0101000020E61000003B56293DD3CA52C00A8E812B8FF64340,,,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,19120,,,,,,,,,,I would want there to be a space in Olney designated to graffiti. It would hopefully help the graffiti come off of the playgrounds where children play. Everyone would still see it and it wouldn't get painted over. It could possibly be on the Broad Stree Line. Maybe there could be art underground so riding th subway would be more enjoyable.,,,,Ride Into Philadelphia,17,"Olney /Underground, Broad Street Line",268,https://farm9.staticflickr.com/8841/17239090753_5b54f2aefb_b.jpg
131,0101000020E610000051FB08579BC352C0F30181CEA4044440,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,19111,,,,,,,,,,"There should be a pink blossom tree on my street in memory of my old pink blossom tree when I was younger. There were trees that were cut down, so we can make it up by making these monuments (and also growing new trees). It will make my neighborhood less gloomy than it is now because my tree was the only one that had flowers on it.
",,,,Pink Blossom,17,"On Glenview Street, Philadelphia",269,https://farm8.staticflickr.com/7785/17671686188_82810780b4_b.jpg
132,0101000020E6100000000000027BCA52C0DEDE3918EEF94340,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,19146,,,,,,,,,,A space where any person can speak their mind about anything and everything!,,,,Philly Speaks,40,City Hall!,27,https://farm9.staticflickr.com/8792/17634727888_72e2d6d77c_b.jpg
133,0101000020E6100000EA2DD450D9C952C0BEAE152301FF4340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,19146,,,,,,,,,,"Lit in red, white and blue. [Divine Lorraine Hotel / R, W, B, R, W, B]",,,,Monument to Father Divine   The Internation Peace Mission Movement,17,N Broad and Fairmount,270,https://farm6.staticflickr.com/5461/17671686428_3ee1937de6_b.jpg
134,0101000020E6100000A0E062450DCA52C0CB48BDA772FA4340,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,19103,,,,,,,,,,A statue or painting or actual people handcuffed together & though they are being forced together by the police they will still choose to stand together against Police Brutality. ,,,,Together,16,"Where ever the Police Dep. is
",271,https://farm9.staticflickr.com/8878/17833155486_6fff9c1810_b.jpg
135,0101000020E61000000000001883CA52C0C8B34052FDF94340,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,19111,,,,,,,,,,"Land of opportunity? Well, that's what others call our country/ My monuent will feature a song/poem about a foreign teenager that moved to Philadelphia and his or her perception of what the Future holds in contrast to a teenager that grew up in Philadelphia. At the end, I will say something about how wrong it is that the foreigner is more optimistic. The song will play every 4th of july at 6:00am and 6:00pm",,,,The America,16,City Hall,272,https://farm8.staticflickr.com/7781/17236971594_327a7a7e74_b.jpg
136,0101000020E61000008AE942ACFEC652C092054CE0D6FF4340,,1,,1,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,1,,1,,,,,,1,1,,,,1,,,,,,,1,,,,,1,,,,,,,,1,,,,1,,,,1,,19124,,,,,,,,,,"So in 2013, I took part in this program called ""Lots of Power"" created by a wind energy company called Clean Currents. The project involved high school students partnering with architects and graphic designers to come up with an idea for the use of the hundreds of vacant lots in Philadelphia, specifically in the Kensington area. Winners received $2000 to use on one lot to make their project a reality. My project was called ""Tag You're It"", and it was about graffiti. I wanted to turn my lot into a blank white canvas, all walls completely white, the lot completely clean no longer filled with drug needles, broken bottles, overgrown weeds. The lot would be created for ALL local graffiti artists, youth, anyone at all, and they'd be able to graffiti, doodle, marker whatever they wanted on the wall. Too many young artists aren't able to freely express themselves because graffiti isn't considered art. It was given this negative connotation because often these artists have nowhere to put their art without it being considered illegal. I want to change that connotation. Art is expression for each and every individual, and they deserve this free space to express themselves. I was the winner of the project, but the company was put out of business before I could make my project a reality. It's something I will never stop feeling strongly about and I would love to see it happen and begin to change our neighborhoods.",,,1,Tag You're It,17,"East Thayer Street and Kensington Avenue
",273,https://farm9.staticflickr.com/8832/17860003791_6fc802a8d2_b.jpg
137,0101000020E6100000000000BC75CA52C02CF6EF0507FA4340,,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,1,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,,,,,19119,,,,,,,,,,"Circular fountain. 10ft diameter, a couple of feet high. Past, present, future. Cobblestone rim (past) concrete floor (present) solar panel center(future). Each major neighborhood (area(8-10 or so) a puzzle piece (in essence). Broken apart and spread out (still keeping shape, but water between them). center city in center, island has city hall on it to distinguish it. Neighborhood pieces are islands. Maybe electronic with controls so visitors can move islands to unify the city? (powered by solar panel maybe). [cobblestone/ cement/ solar center / water. Top down view / rough]",,,,Disunited,16,Broad/Market intersection,274,https://farm8.staticflickr.com/7795/17671962200_6d7516de16_b.jpg
138,0101000020E61000000A4966F50ECC52C0F1F109D979FD4340,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,19119,,,,,,,,,,"As it stands I'm not even sure that the house has one of the markers indicating that it is a historical site. Either way I think that this home deserves recognition even though it was not the house that he lived in as a child. On the other hand, there are so many other artists born in Philadelphia that also deserve more recognition. They do get some degree of recognition with those tiles on Broad street. I guess it's a bit of a hard call.",,,,John Coltrane,17,1511 N. 33rd Street,275,https://farm6.staticflickr.com/5445/17239092263_ac3d25271d_b.jpg
139,0101000020E6100000618BDD3EABCB52C0C6BFCFB870FA4340,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,19147,,,,,,,,,,"Giant delete button from a keyboard. We always have the choice to just start over. [DELETE] Jump on it and press it? You can make yourself, but you can also unmake yourself. Placement is because 30th is a large station and you can go anywhere. Good place to start over.",,,,Erasure,17,30th street station,278,https://farm6.staticflickr.com/5466/17671962720_6b6ea761a5_b.jpg
140,0101000020E61000000000007283CA52C01BAEA4056FF94340,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,19119,,,,,,,,,,One of those moving sidewalks you find in airports drawn on the ground. It represents movement and privilege. ,,,,Not Fast Enough,17,"The concourse (between City Hall and Walnut Locust)
",279,https://farm8.staticflickr.com/7699/17673231939_35f88f78c3_b.jpg
141,0101000020E61000006AA4A5F276CA52C0F67F0EF3E5F94340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,19143,,,,,,,,,,FLYERS HYDRANT,,,,Flyers Hydrant,29,Anywhere there's a hydrant,28,https://farm9.staticflickr.com/8829/17635001190_b0373eb0cd_b.jpg
142,0101000020E61000006F192609F8CA52C01D86A0B481064440,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,19138,,,,,,,,,,"Two male friends shaking hands, meeting up to play basketball. In my neighborhood you sort of make friends by going to the playground. Meeting up with a friends is how everyone meets new people because you have similar friends.",,,,True Friendship,17,"Stenton and Washington Lane
",280,https://farm8.staticflickr.com/7708/17859497805_32b758c59c_b.jpg
143,0101000020E610000090E67E3D15C052C0724F57772C0B4440,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,19143,,,,,,,,,,Graffiti of all things involving Philly artists (graffiti). [Graffiti Skyline],,,,Graffiti Skyline,16,Along the express way to center city (kelly drive) overpass,281,https://farm6.staticflickr.com/5447/17671689588_39206da017_b.jpg
144,0101000020E61000000000005095CB52C0449162AE32FA4340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,19130,,,,,,,,,,"My monument represents pepole of different ethnicities holding hands. [""unity""]",,1,,Swag Daddy,17,"29th and Market / ""The River""",282,https://farm8.staticflickr.com/7666/17673233999_40d4b245f5_b.jpg
145,0101000020E610000000000040ECCF52C04B43775BD4F94340,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,19143,,,,,1,,,,, ,,,,Micah Henry Baseball Field,17,Cobbs Creek Park- near Catherine Street,283,https://farm6.staticflickr.com/5460/17859498685_c0c153a198_b.jpg
146,0101000020E61000000000008C97C952C0E6A5673063FA4340,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,19147,,,,,1,,,,,a community basketball court,,,,#Ball Is Life,17,Franklin Square,284,https://farm6.staticflickr.com/5337/17860007141_8a53facf54_b.jpg
147,0101000020E6100000000000B28ECA52C078D8721FF7F94340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,1,,,,,,,,,1,,,1,,19111,,,,,,,,,,"Philly Pretzel statue [colored, suggestion rainbow pretzel, liberty bell, love]",,,,Foodies,17,"Dilworth Park
",285,https://farm8.staticflickr.com/7793/17236975934_2d2209935a_b.jpg
148,0101000020E6100000000000008DC952C0FB168C7CD1014440,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,19144,,,,,,,,,,"Turn old abandoned warehouses, factories into workshops for teaching people trades",,,1,The Trade City,17,North Philly,286,https://farm6.staticflickr.com/5348/17671965570_013689ab06_b.jpg
149,0101000020E61000000000000022CB52C09449DBC7E9F34340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,19142,,,,,,,,,,"""Show Ya Luv""- Lou Williams' conversation with Evan Turner, one day at practice when ""ET"" was feeling down. (one day back when he played with the Sixers). Sort of like the ""Love"" park statue in Center City. The number 23, should be behind the words ""Show Ya Luv"". Colors: Sixers colors. or a hand with the pinky and ring finger down with ""Show Ya Luv"" written on it.",,,,"""Sweet Lou""",17,AT&T station in South Phila (near sports complex),287,https://farm8.staticflickr.com/7784/17856591652_3f578caca6_b.jpg
150,0101000020E610000053A236BBFFC652C0B38F5F8951064440,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,19120,,,,,,,,,,I think they should create a glass stained mural on the overpass of the walkway on Tacony Creek. It's a lot of space and there's no signifigance there. People just kind of hang around there so I think it would be something nice to look at. I think it should be tiles all on the overpass with something important on them. I just haven't figured out what yet.,,,,Pretty In Philly,17,Tacony Creek ,288,https://farm8.staticflickr.com/7712/17671965960_506c42a067_b.jpg
151,0101000020E6100000116F9D7FBBC952C05A4524AF73F74340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,19148,,,,,,,,,,"I wanted to get rid of the set of stairs (that are pretty ugly) and beautify it with an arch. The arch would be purely white to symbolize the diversity and togetherness that the community holds. After all, white is the stem of all colors.",,1,,Noah's Arch,17,434 Federal St. or 4th and Federal Street,289,https://farm6.staticflickr.com/5344/17856592022_9032062cdf_b.jpg
152,0101000020E61000005F2BFC7417CC52C006FC7502F5F94340,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19147,,,,,,,,,,"[Projected Text --> scrolling / polished white marble É / Polished steel É / THE ANSWER / ""Practice É we talkin' about practice. We ain't talkin' about a game. We talkin' about practice. Practice."" / Entire Iverson practice press conf. transcript] ",,,,A.I.,27,Penn Nanotech Facility,29,https://farm9.staticflickr.com/8759/17200522444_242d868a46_b.jpg
153,0101000020E610000000000098B5CC52C03AFD0FD580FA4340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,19121,,,,,1,,,,,The Fresh Prince of Philly [Will Smith's face / Carlton dancing / locals face for Will and Carlton],,,,Fresh Prince,16,"West Philly/ the Plateau
",290,https://farm8.staticflickr.com/7688/17671691048_9a5cf2e9a4_b.jpg
154,0101000020E6100000212EEF607ACB52C072153026A2F84340,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,19146,,,,,,,,,,Tree!,,,,Tree!,16,Southwestern Center City,291,https://farm8.staticflickr.com/7667/17673235649_3b20e780bb_b.jpg
155,0101000020E6100000000000E0ABCA52C0BA4DC59CECF94340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,1,,,,,,19128,,,,,,,,,,[School District / budget],,,,No Budget for You!,17,Next  to the school district building,292,https://farm6.staticflickr.com/5329/17856592552_4d331d0867_b.jpg
156,0101000020E6100000A45016BEBECC52C0DC9035D9F5FE4340,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,19146,,,,,,,,,,"A clock showing the time with the day, month, and year displayed below and a list of events that occured in Philly",,,,Time Gone By,17,on the Scykull River Trail,293,https://farm8.staticflickr.com/7796/17856592752_b9fa90345a_b.jpg
157,0101000020E61000000000002D6ECA52C047FBA128CEF94340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19103,,,,,,,,,,Showing the connection between different people in Philadelphia. We are all tied to each other.,,,,Tied,17,"City Hall (Center)
",294,https://farm9.staticflickr.com/8862/17856593022_a0b7dc8dd8_b.jpg
158,0101000020E6100000FFFFFF8D2BCA52C07CD445EA53FE4340,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,19118,1,,,,,,,,," [""landscape of some sort""]",,,1,A Glimpse of Nature,17,In a vacant lot,295,https://farm6.staticflickr.com/5458/17856593242_ac809bb607_b.jpg
159,0101000020E6100000B3EF8AE07FCB52C091D6187442F84340,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,19146,,,,,,,,,, ,,,,Unity Square,17,22nd and Washington Ave,296,https://farm9.staticflickr.com/8770/17671967630_ddb5b0a492_b.jpg
160,0101000020E6100000000000DE17CA52C0600D7FC181F74340,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,19147,,,1,,,,,,,A vacant lot turned into a small park/ gathering place with a few (2-3) projectors and screens to watch sports games while enjoying a cheese steak. It represents our sports culture and passion as a city,,,,Sports Park,17,Around Pat's & Geno's (vacant lot),297,https://farm9.staticflickr.com/8800/17860010081_a1525e9855_b.jpg
161,0101000020E61000000000808D33CA52C0704E4783FCF94340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,mumbai 40025,,,,,1,,,,,[Love  / Steak ],,,,Philly In My Eyes,26,Readington Terminal,298,https://farm9.staticflickr.com/8850/17936028610_103286e8d7_b.jpg
162,0101000020E610000000000074EACA52C0685CBA519CFA4340,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,10708,,,,,,,,,,[Freedom],,,, , , ,299,https://farm9.staticflickr.com/8849/17937523269_dd2d98efa9_b.jpg
